50
# x z 
-1.9	-1.27
0	-0.98
1.88	-0.69
3.75	-0.34
5.82	0
7.72	-0.02
9.72	-0.1
11.71	-0.17
13.78	-0.54
15.78	-0.47
17.78	-0.35
19.77	-0.19
21.66	-0.34
23.76	-0.33
25.74	-0.63
27.74	-0.71
29.73	-0.55
31.56	-1.07
33.84	-0.75
35.83	-0.91
37.93	-0.94
39.93	-1.01
41.92	-0.84
43.82	-0.93
45.82	-1.05
47.92	-1.03
49.97	-1.49
51.87	-1.49
53.96	-1.39
56.36	-1.49
57.93	-1.19
59.86	-1.73
61.96	-1.63
64.05	-1.84
66.03	-2.08
68.13	-2.25
69.71	-2.45
71.91	-2.5
74.2	-2.7
76.1	-2.67
78.2	-2.71
80.29	-2.5
82.47	-2.79
84.07	-2.86
85.77	-2.92
88.15	-2.57
90.05	-2.54
91.92	-2.84
94.18	-2.39
96.04	-2.74
135
# a b m n u i err  k rhoa
2	5	3	4	8.06300000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.24425125113823e+01	1.00323978379276e+03
3	6	4	5	6.57800000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.13631688425316e+01	7.47469246461728e+02
4	7	5	6	7.90800000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.35991605053465e+01	1.07542161276280e+03
5	8	6	7	6.24700000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.11640468033346e+01	6.97418003804313e+02
6	9	7	8	6.95400000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.37386220504276e+01	9.55383777386733e+02
7	10	8	9	6.07700000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.21972442340463e+01	7.41226532102996e+02
8	11	9	10	7.33600000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.26672222208774e+01	9.29267422123566e+02
9	12	10	11	5.94700000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.26465944139103e+01	7.52092969795243e+02
10	13	11	12	6.51700000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.23649917176970e+01	8.05826510242313e+02
11	14	12	13	6.89600000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.30407904979541e+01	8.99292912738911e+02
12	15	13	14	6.31300000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.15648519236952e+01	7.30089101942881e+02
13	16	14	15	7.59100000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.39331212573868e+01	1.05766323464823e+03
14	17	15	16	7.58600000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.09573151451426e+01	8.31221926910515e+02
15	18	16	17	9.85500000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.38998299741952e+01	1.36982824395694e+03
16	19	17	18	5.67700000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.34687584853191e+01	7.64621419211565e+02
17	20	18	19	1.16830000000000e+02	1.00000000000000e+00	3.00000000000000e-02	1.06964826002185e+01	1.24967006218353e+03
18	21	19	20	7.58100000000000e+01	1.00000000000000e+00	3.00000000000000e-02	1.59031982903623e+01	1.20562146239237e+03
19	22	20	21	1.13040000000000e+02	1.00000000000000e+00	3.00000000000000e-02	1.17641560567575e+01	1.32982020065587e+03
