52 	 # Number of sensors 
# x z 
-1.90 -1.27 
-0.95 -1.13 
0.00 -0.98 
0.94 -0.84 
1.88 -0.69 
2.81 -0.52 
3.75 -0.34 
4.78 -0.17 
5.82 0.00 
6.77 -0.01 
7.72 -0.02 
8.72 -0.06 
9.72 -0.10 
10.72 -0.14 
11.71 -0.17 
12.75 -0.36 
13.78 -0.54 
14.78 -0.51 
15.78 -0.47 
16.78 -0.41 
17.78 -0.35 
18.77 -0.27 
19.77 -0.19 
20.72 -0.27 
21.66 -0.34 
22.71 -0.34 
23.76 -0.33 
24.75 -0.48 
25.74 -0.63 
26.74 -0.67 
27.74 -0.71 
28.74 -0.63 
29.73 -0.55 
30.65 -0.81 
31.56 -1.07 
32.70 -0.91 
33.84 -0.75 
34.84 -0.83 
35.83 -0.91 
36.88 -0.93 
37.93 -0.94 
38.93 -0.98 
39.93 -1.01 
40.93 -0.93 
41.92 -0.84 
42.87 -0.89 
43.82 -0.93 
44.82 -0.99 
45.82 -1.05 
46.87 -1.04 
47.92 -1.03 
48.94 -1.26 
576 	 # Number of measurements 
# s g t err
4 3 0.00221 0.001
4 4 0.00000 0.001
4 5 0.00458 0.001
4 7 0.00706 0.001
4 9 0.00849 0.001
4 11 0.00965 0.001
4 13 0.00996 0.001
4 15 0.01070 0.001
4 17 0.01165 0.001
4 19 0.01196 0.001
4 21 0.01439 0.001
4 23 0.01527 0.001
4 25 0.01445 0.001
4 27 0.01533 0.001
4 29 0.01417 0.001
4 31 0.01529 0.001
4 33 0.01588 0.001
4 35 0.01643 0.001
4 37 0.01643 0.001
4 39 0.01797 0.001
4 41 0.01792 0.001
4 43 0.01803 0.001
4 45 0.01737 0.001
4 47 0.01682 0.001
4 49 0.02020 0.001
6 3 0.00794 0.001
6 5 0.00273 0.001
6 6 0.00000 0.001
6 7 0.00294 0.001
6 9 0.00830 0.001
6 11 0.01045 0.001
6 13 0.01058 0.001
6 15 0.01255 0.001
6 17 0.01309 0.001
6 19 0.01364 0.001
6 21 0.01618 0.001
6 23 0.01639 0.001
6 25 0.01627 0.001
6 27 0.01712 0.001
6 29 0.01552 0.001
6 31 0.01539 0.001
6 33 0.01745 0.001
6 35 0.01785 0.001
6 37 0.01791 0.001
6 39 0.01968 0.001
6 41 0.02014 0.001
6 43 0.01999 0.001
6 45 0.01914 0.001
6 47 0.01885 0.001
6 49 0.02194 0.001
8 3 0.01097 0.001
8 5 0.00808 0.001
8 7 0.00264 0.001
8 8 0.00000 0.001
8 9 0.00264 0.001
8 11 0.00752 0.001
8 13 0.00999 0.001
8 15 0.01211 0.001
8 17 0.01097 0.001
8 19 0.01297 0.001
8 21 0.01519 0.001
8 23 0.01549 0.001
8 25 0.01489 0.001
8 27 0.01630 0.001
8 29 0.01570 0.001
8 31 0.01587 0.001
8 33 0.01689 0.001
8 35 0.01745 0.001
8 37 0.01740 0.001
8 39 0.02004 0.001
8 41 0.01991 0.001
8 43 0.01940 0.001
8 45 0.01889 0.001
8 47 0.01876 0.001
8 49 0.02183 0.001
10 3 0.01103 0.001
10 7 0.00804 0.001
10 9 0.00185 0.001
10 10 0.00000 0.001
10 11 0.00206 0.001
10 13 0.00896 0.001
10 15 0.01124 0.001
10 19 0.01237 0.001
10 21 0.01338 0.001
10 23 0.01540 0.001
10 25 0.01427 0.001
10 27 0.01536 0.001
10 29 0.01423 0.001
10 31 0.01477 0.001
10 33 0.01406 0.001
10 35 0.01604 0.001
10 37 0.01680 0.001
10 39 0.01928 0.001
10 41 0.01899 0.001
10 43 0.01869 0.001
10 45 0.01777 0.001
10 47 0.01802 0.001
10 49 0.02088 0.001
12 3 0.01086 0.001
12 5 0.00910 0.001
12 11 0.00337 0.001
12 12 0.00000 0.001
12 13 0.00266 0.001
12 15 0.00783 0.001
12 17 0.00880 0.001
12 19 0.00993 0.001
